census_tract,total_applications,approvals,approval_rate,denial_rate
24033804700,43,38,0.8837209302325582,0.11627906976744184
24033804801,1,1,1.0,0.0
24033804900,28,25,0.8928571428571429,0.1071428571428571
24033805000,27,18,0.6666666666666666,0.33333333333333337
24033805101,22,20,0.9090909090909091,0.09090909090909094
24033805201,15,13,0.8666666666666667,0.1333333333333333
24033805202,13,12,0.9230769230769231,0.07692307692307687
24033805500,20,14,0.7,0.30000000000000004
24033805601,3,3,1.0,0.0
24033805602,2,1,0.5,0.5
24033805700,28,23,0.8214285714285714,0.1785714285714286
24033805801,30,27,0.9,0.09999999999999998
24033805802,21,18,0.8571428571428571,0.1428571428571429
24033805904,11,10,0.9090909090909091,0.09090909090909094
24033805906,9,7,0.7777777777777778,0.2222222222222222
24033805907,53,33,0.6226415094339622,0.37735849056603776
24033805908,154,144,0.935064935064935,0.06493506493506496
24033805909,18,9,0.5,0.5
24033806000,32,29,0.90625,0.09375
24033806100,30,29,0.9666666666666667,0.033333333333333326
24033806400,34,33,0.9705882352941176,0.02941176470588236
24033806501,28,27,0.9642857142857143,0.0357142857142857
24033806601,21,18,0.8571428571428571,0.1428571428571429
24033806602,29,26,0.896551724137931,0.10344827586206895
24033806706,40,32,0.8,0.19999999999999996
24033806708,31,31,1.0,0.0
24033806710,53,51,0.9622641509433962,0.037735849056603765
24033806711,42,38,0.9047619047619048,0.09523809523809523
24033806712,50,38,0.76,0.24
24033806713,1,0,0.0,1.0
24033806714,23,21,0.9130434782608695,0.08695652173913049
24033806800,45,40,0.8888888888888888,0.11111111111111116
24033806900,43,40,0.9302325581395349,0.06976744186046513
24033807000,37,32,0.8648648648648649,0.1351351351351351
24033807102,31,28,0.9032258064516129,0.09677419354838712
24033807301,15,14,0.9333333333333333,0.06666666666666665
24033807304,11,9,0.8181818181818182,0.18181818181818177
24033807305,17,15,0.8823529411764706,0.11764705882352944
24033807404,35,28,0.8,0.19999999999999996
24033807405,51,45,0.8823529411764706,0.11764705882352944
24033807407,33,26,0.7878787878787878,0.21212121212121215
24033807408,65,57,0.8769230769230769,0.12307692307692308
24033807409,10,5,0.5,0.5
24033807410,46,40,0.8695652173913043,0.13043478260869568
24033807500,83,73,0.8795180722891566,0.12048192771084343
24033980000,8,8,1.0,0.0
51013100100,57,54,0.9473684210526315,0.052631578947368474
51013100200,61,59,0.9672131147540983,0.032786885245901676
